,article
0,"CAPE TOWN (Reuters) - South African FIFA presidential candidate Tokyo Sexwale said on Monday he is a realist who is “open to negotiations and alliances” ahead of Friday’s vote in Zurich. Sexwale, whose campaign has failed to gain traction, is the first candidate in the process to suggest he could be interested in striking a deal. The millionaire businessman is up against Asian Football Confederation president Sheikh Salman Bin Ebrahim Al Khalifa, former FIFA deputy general secretary Jerome Champagne, Jordanian Prince Ali Bin Al Hussein and UEFA general secretary Gianni Infantino in the race to become head of world soccer’s governing body. FIFA is embroiled in a corruption scandal that has led to indictments against several dozen senior officials in the United States. Long-term president Sepp Blatter has been banned for eight years for ethics violations. Editing by: Ossian Shine"
1,"TOKYO, May 21 (Reuters) - Japanese government bond prices were flat on Tuesday, with a regular debt-buying operation by the central bank helping offset negative pressure from a retreat by U.S. Treasuries. The two-year yield and the 10-year yield were unchanged at minus 0.160% and minus 0.050%, respectively. The 30-year yield was also flat, at 0.540%. The Bank of Japan on Tuesday offered to buy 1.23 trillion yen ($11.16 billion) of one- to 10-year JGBs as part of a regular operation. The Nikkei was little changed and unable to provide the JGB market with incentives. U.S. Treasury prices fell and their yields rose on Monday after Federal Reserve officials expressed confidence in the world’s largest economy. ($1 = 110.2200 yen) (Reporting by the Tokyo markets team; editing by Rashmi Aich)"
2,"MOSCOW (Reuters) - A total of 48,000 of Russian troops have taken part in Moscow’s military campaign in Syria, Russian Defence Minister Sergei Shoigu said on Friday. Reporting by Dmitry Solovyov"
3,"Georgetown University, J.D.
Georgetown University, B.A. 

Administration 
        —
            08/13/19 12:10 PM EDT

 

National Security 
        —
            08/12/19 12:19 PM EDT

 

National Security 
        —
            08/09/19 10:03 AM EDT

 

White House 
        —
            08/07/19 06:10 PM EDT

 

Court Battles 
        —
            08/06/19 04:34 PM EDT

 

Congress Blog 
        —
            07/31/19 12:15 PM EDT

 

Administration 
        —
            07/28/19 10:51 PM EDT

 

Judiciary 
        —
            07/26/19 10:00 AM EDT

 

White House 
        —
            07/26/19 08:30 AM EDT

 

Senate 
        —
            07/26/19 08:22 AM EDT

 

National Security 
        —
            07/24/19 03:30 PM EDT

 

House 
        —
            07/24/19 12:16 PM EDT

 

Blog Briefing Room 
        —
            07/24/19 11:11 AM EDT

 

National Security 
        —
            07/24/19 07:28 AM EDT

 

National Security 
        —
            07/23/19 07:40 PM EDT

 The Hill 1625 K Street, NW Suite 900 Washington DC 20006 | 202-628-8500 tel | 202-628-8503 fax The contents of this site are ©2019 Capitol Hill Publishing Corp., a subsidiary of News Communications, Inc."
4,Aug 16 (Reuters) - Tecan Group AG: * TECAN ACCELERATES BROAD GENOMICS STRATEGY WITH THE ACQUISITION OF NUGEN TECHNOLOGIES * CLOSING OF TRANSACTION EXPECTED WITHIN COMING WEEKS Source text for Eikon: Further company coverage: (Gdynia Newsroom)
5,"US President Donald Trump has ordered an investigation into French plans to tax tech firms hundreds of millions of dollars.Trump is worried that France's new digital-services tax, which would place a 3% levy on the French revenue of firms like Amazon, unfairly targets US companies.The US could retaliate against the tax, which might spark a new trade war with France. The French finance minister said differences should be resolved ""through means other than threats.""Trump's move marks something of a change in tone for the president, who has spent weeks attacking America's biggest tech firms.Visit Business Insider's homepage for more stories.US President Donald Trump has ordered an investigation into French plans to slam big tech companies, like Amazon, Apple, Google, and Facebook, with giant new taxes.The probe, known as a Section 301 investigation, was announced Wednesday night by US Trade Representative Robert Lighthizer. It could culminate in retaliatory tariffs, which might open up a new trade war.France's digital-services tax, which was approved by the French Senate on Thursday, would require tech firms with revenue of more than $845 million to pay a 3% tax on their French sales.This could raise about €500 million, or $563 million, for the French public purse every year, which French Finance Minister Bruno Le Maire has said would amount to ""justice.""Taxing revenue is meant to counter the complex arrangements most US tech firms have in place to avoid paying high taxes on their profits.Lighthizer's office said it had reason to believe that France was ""unfairly targeting the tax"" on US companies. As a result, Trump has called for the investigation.Read more: Tech's tax bombshell: Internet giants face billions more in taxes in Europe as regulators demand 'justice'""The United States is very concerned that the digital-services tax which is expected to pass the French Senate tomorrow unfairly targets American companies,"" Lighthizer said Wednesday.""The president has directed that we investigate the effects of this legislation and determine whether it is discriminatory or unreasonable and burdens or restricts United States commerce.""







The US has the authority to ""respond to a foreign country's unfair trade practices"" under the trade act, Lighthizer's office said, suggesting it could decide to hit back at the French tax.Action against Europe would not be unprecedented for the US president, who imposed tariffs of 25% on European steel and 10% on aluminum in May last year. The US is also fighting a trade war with China, and trade tensions are brewing between the US and India.""Trump preps for a trade war with France,"" was the conclusion of the New York Times economic-policy reporter Alan Rappeport.Le Maire on Thursday said threats for the US were not the answer. ""I profoundly believe that between allies we can and should resolve our differences through means other than threats,"" he said, per Reuters.""France is a sovereign country which makes sovereign decisions about its tax regime and it will continue to make sovereign decisions about its tax regime.""UK plans almost identical taxFrance's digital-services tax could be seen as a test case for other European countries to introduce similar tax regimes. The UK, for example, has announced an almost identical plan, which Boris Johnson, the likely next UK prime minister, has indicated his support for.Trump's call for an investigation marks a change in tone for the president, who has spent weeks accusing America's biggest tech firms of bias against conservatives bias and hinting at antitrust grievances. He has even threatened to sue firms like Google and Facebook."
6,"Juiced by tax cuts this year, the economy's performance peaked in the second quarter and is expected to increasingly lose steam in 2019, with growth slowing to a crawl and a recession looming. That is one big reason the stock market has spiraled lower, as buyers rushed into Treasurys and yields on corporate debt snapped higher. Investors' views, in fact, may be even gloomier than those of economists. Major firms this week have been releasing forecasts for next year, and both Goldman Sachs and J.P. Morgan see growth slowing to below 2 percent in the second half of 2019. But at the same time, the two firms expect the Federal Reserve to raise interest rates four times, while other economists believe the Fed may have to move at a slower pace. Economists point to a number of factors for the slower growth, but topping the list of scare factors for markets are those Fed interest rate hikes as well as the impact of tariffs and trade wars, should they continue. Economists do not foresee a recession next year, but by 2020, one seems more likely, some economists said. ""It depends on the Fed. If they continue along the current [interest rate hiking] trajectory they are following ... I think [there's a recession in] the first half of 2020,"" said Joseph LaVorgna, chief economist Americas at Natixis. LaVorgna expects 2.5 percent growth next year, though slower in the second half. Stock prices are now flat for the year, after a near 9 percent decline in the S&P 500 since September. More than 40 percent of the stocks in the S&P 500 have seen at least a 20 percent decline, reaching bear market levels. At the same time, credit spreads have widened in both the high yield and investment grade corporate to 2016 levels. ""Look at how much things have tightened,"" said James Paulsen, chief investment strategist at Leuthold Group. ""If you look around the globe, there's been a slowdown in money growth and a rise in yields all around the globe, and typically when you tighten like that, this is what happens. ... You're starting to see more evidence of it in the home builders' survey, the housing numbers, the auto sales, the durable goods numbers."" Watch: How the Fed could cause the next recession, according to Gary Shilling The fear is also feeding on itself with concerns that worsening financial conditions could add to slower growth but possibly hold back the Fed's rate hikes. ""This market to me now is telling you that investor recession fears are escalating. Whether that's right or not, I still lean toward the view we're going to avoid it, but we're going to be really scared of it. I think we're going to break the previous lows, and be scared to death that either the bull market is over or a recession is here, and that might be a good opportunity to buy,"" said Paulsen. Economists, however, are not convinced a recession is in the cards until at least 2020, and the sluggish growth basically returns to the normal pace of slow but steady growth for the years prior to 2018. Growth was just around 2 percent in seven of the last 11 quarters, with the exceptions including the peak of 4.2 percent in the second quarter of 2018. ""Everything points to a slowdown next year. Rising mortgage rates hurting housing construction. Business orders on equipment stalled out. Consumers don't have as much tax cut money to spend. Everything points to a slowdown, but the economy was pretty strong, so it's going to be slowing from what? I think it's going to be about 3.2 percent this year if we get 3 percent in the fourth quarter,"" said Chris Rupkey, chief financial economist at MUFG Union Bank. Rupkey sees 2.7 percent growth in 2019. But the average forecast for a group of 10 economists, including the Fed, was 2.4 percent for 2019, according to a CNBC survey. ""We're looking at growth a little above 2 percent, 2.25 percent,"" said Diane Swonk, chief economist at Grant Thornton. ""It's not super strong, but it should still whittle away at the unemployment rate. The most difficult thing for financial markets is what's happening to margins. The cushion provided by tax cuts on year over year has disappeared."" Swonk said she expects a recession in the second half of 2020, in part because of the collateral damage from trade wars.  Economists say one of the big factors bringing growth back to its pre-tax-cut pace is simply the fading of the positive boost from tax cuts, and that should be clear in corporate profit growth, expected at about 8.5 percent for the S&P 500, down from about 24 percent in 2018. Rupkey said there are signs that business spending, boosted by tax cuts, is also topping out. For instance, durable goods orders for October fell an unexpected 4.4 percent, due in part to a reversal in transportation equipment which had strong gains in August and September. Inside the number, the proxy for business spending, the nondefense capital goods orders ex-aircraft, was flat. ""It gets up to about $70 billion per month and then kind of stalls out there. I think it stalled out. It certainly stopped for now,"" Rupkey said. ""There's just no further driver for the economy coming from investment in equipment. They've ordered all their equipment for now. Trade is partly [a factor] in there."" Rupkey said he is keeping his forecast of 3 percent for the fourth quarter but risks are on the downside. His forecast for next year does not anticipate an escalation of trade wars or tariffs, as anticipated in the forecasts of some of the other economists. ""If the President is thinking of cutting a deal with China at G20 in Buenos Aires, now would be the time,"" Rupkey noted. President Donald Trump meets with Chinese President Xi Jinping at the end of next week. That meeting could set the tone for markets but also for how the economy performs if he is to proceed with higher or additional tariffs. ""There is some worry about what's going on with China and what the world growth picture is like now,"" said Rupkey. Economists note that the slowdown in China has ripples across the emerging world and into Europe. ""I see Europe weakening,"" said Swonk. ""I don't think Europe is prepared for a slowdown in China. There's a lot of risks we don't fully understand in the system."" The U.S. economy had been the standout in the past year, with the economy diverging from others, but the loss of the tax cut benefit combined with tariff impacts could now be a double whammy. As of Jan. 1, the tariffs on Chinese goods could rise to 25 percent from 10 percent, and Trump has threatened another $250 billion or so in Chinese goods could be subject to tariffs. ""We had these competitive policies where tax cuts were widening margins, and at the same time we were losing margins to tariffs and rising wages, and now they all go in the same direction,"" said Swonk. ""Financial markets are uncertain about what will show up in price increases."" Economists expect companies to try to pass on the impact of rising tariffs through higher prices, but they may not be able to do so. ""Next year, if 25 percent tariffs go through on Chinese imports, that would amount to a tax increase of over $100 billion, much of which would fall on the consumer,"" J.P. Morgan economists noted. They expect the impact to be either absorbed through currency adjustments or in the margins of both Chinese and U.S. producers. LaVorgna said the tax cuts could bite for another reason, in that some taxpayers may find they have not withheld enough to cover their taxes with the new tax bill and could have to pay more in April. LaVorgna said that could add to weakness in the second half of 2019. ""It's weaker for a few reasons, some of which is the delayed affect of higher interest rates which is certainly slowing housing and perhaps a tightening of fiscal policy, and not because of what you think,"" said LaVorgna. He said individuals in high-tax states could be the most impacted. ""You could wind up having a pretty significant tax increase for people where they owe more than expected."" Housing is one place investors have been watching, for fear it is signaling a consumer slowdown. As interest rates have risen, homebuyers have increasingly stepped back, and mortgage applications, including refinancings, were 22 percent below last year's level in the last week. Homebuilder sentiment in November fell to its lowest level in two years, in its steepest one-month drop in 4 1/2 years. ""It's a canary in the coal mine. It can respond to interest rates a year-and-a-half before the rest of the economy,"" said Diane Swonk. She said the current housing market is not the bubble it was before the financial crisis. ""Much more of the debt is safer than it was. The problem is what's being issued now to keep the market going. It's not a systemic problem. It's a signal you want to watch. We hope it's a yellow flag, not a red flag."" Existing home sales for October were up an unexpected 1.4 percent. ""We look for only a modest decline in residential investment,"" the J.P. Morgan economists noted. For the first three quarters of 2018, they note that real residential investment declined 2.9 percent on an annualized basis and should continue to decline into 2019. They expect the drag from higher rates to fade, and housing activity should improve again."
7,"Mascots are a special, yet often overlooked, component of the Olympics.  Since 1968, a cute creature has been designed for each of the games and plastered all over merchandise. In the grand internet tradition of ranking things, it's only fitting that we examine the strengths and weaknesses of some of the most beloved Olympic mascots and see how they stack up.  I'm Izz-AY and I'm here to part-AY Izzy is here for one reason and one reason only: to party. Though he was apparently selected by a group of children, Izzy looks more like he belongs in the halls of a frat house.   Childlike, yet terrifying Magique could be a whole lot worse, but he could also be a whole lot better. For the most part, any mascot that's not explicitly an animal tends to look incredibly creepy, and nothing exemplifies that so much as Magique's little flesh-colored head popping out from his star-shaped body.   I'm Schneeman, and I like warm hugs! In German, Schneeman translates to ""snowman,"" but Olaf's less put-together counterpart looks less like a ""snowman"" and more like a ""possessed snowball."" The oddly humanoid hands and soulless black eyes really complete the look.   He could be right out of a Doctor Who episode. I'm still not sure what Wenlock is supposed to be, even after reading the IOC's description of him as being ""made from one of the last drops of steel used to build the Olympic Stadium in London."" Wenlock looks less like a fun mascot and more like he wants to be our new overlord.  ""Come play with us..."" Out of the pairs of childlike creatures on this list, Haakon and Kristin are definitely the most realistic, which honestly makes them all the more haunting. These little children look like they belong in a Stephen King movie and they really, really want to play...  Hmm. Their design would be much better if they weren't so yellow. From a distance, they resemble sentient bananas. Up close, the truth is more terrifying. And in giant form, these fellas straight up look like they're going to hunt you down.   He is valid. Schuss gets major points for being the OG mascot. That being said, his design is still a little on the weirdly terrifying end. Though he has an endearingly wholesome quality that lands him higher up on the list.   It's all in the eyes. I was originally inclined to put these guys pretty close to the top, because they look very cute when rendered in 2D. But after doing more research, I found their true 3D forms, which are basically nightmare fuel. Sorry, guys.  Rocket the racoon's alter-ego Roni is a raccoon decked out in ski gear. There's really not much else to be said for him. There's nothing about his design that is especially scary, but there's nothing about it that stands out either. Good on you, Roni.   CooooOOoookie Crisp — oh wait Vučko looks like he could be on a box of cereal, screaming at small children, or chasing an annoying bird across a desert landscape. He's not though, he just looks like every other cartoon attempt to make wolves or coyotes more friendly and approachable (because stealing cereal from children and hunting roadrunners is cute.)   I wonder what country he's from. There's nothing technically wrong with Sam, except that he's the most generic American mascot design you could come up with. He's an American bald eagle wearing an American hat with an American bow tie, because lest we forget, he is an American mascot.   Welcome to Calgary, eh! The Canadian equivalent of Sam features two bears (for Canada!) decked out in frontier wear. Hidy and Howdy rank higher than Sam because bears are objectively cuddlier than eagles. They have all the friendliness that we associate with Canadians, coupled with the reminder that Canada is damn cold.   This is a bear. When you think Russia, you think bear. Misha is one such bear. His design is very bear. The most bear. There is nothing lacking about Misha. He simply is bear. Misha ranks above Hidy and Howdy, though, because his costume attire is just a cool belt and not an over-the-top ensemble.  They're gonna hit Outback Steakhouse later. There's nothing wrong with this trio, except that they're the most generic Australian animals we could've come up with: a platypus, a kookaburra and a — well, I guess the echidna's cool. They get a leg up over the other generic animal mascots because Australian animals are more interesting by default.  Just slightly cuter than they are creepy. Neve and Gliz show us how to do humanoid-duo without making it too creepy. They are still a little creepy, but because they're so cartoonish, they're far off from falling into the eerie ""Uncanny Valley.""  Look at these wee owl bebs More commonly known as the ""Snowlets,"" these little birdies have all the perks of an appealing design: round shape, bright colors, big eyes. It's the weird smile underneath the beak that bumps them down, but they're still precious little darlings.   They also come in early 2000s snowboard-bro gear A bear, hare, and coyote could cross the line into stereotypical, but there's a deeper choice behind this selection. Each animal in this trio is heavily featured in local Native American stories and each wears a necklace with a petroglyph (rock engraving) in the style of the ancient people of the area, the Anasazis and the Fremonts. So even though the choice seems basic, they get points for a cooler meaning.   Tony the Tiger's Korean cousin Strong, dignified Hodori represents Korea without being obvious about it. Unlike 2018's mascot, Hodori lacks an element of cuteness, but he still shines with positivity and a can-do attitude. He wears a sangmo, a traditional Korean hat, to honor his roots.   Dogs are objectively cuter in suits. Cobi's design was met with mixed reviews when he was first unveiled. Considering he's supposed to be a Pyrenean mountain dog and this design does not exactly scream ""Pyrenean mountain dog,"" I can see where the confusion came from. But his dynamic Cubist-inspired design really sets Cobi apart from the other mascots, without compromising his cuddliness factor.   The new Fab Five This mascot quintet sparkles with cuteness and with symbolism. Each of the five represents a different traditional Chinese element and a different wish: prosperity, happiness, health, luck, and passion for sport. It's a traditional approach that combines with the modern Olympic creed, giving these cute mascots some depth.   A strong boi Sturdy, yet minimalist, Amik is a mascot you can depend on. It's a beaver, which is very obviously Canadian, but Amik's design is sophisticated enough to transcend geography. With Amik they took the obvious choice and turning it into something timeless.   Vinicius supports all sports, including boring ones like golf. Vincinius' bright colors radiate positivity and sunshine, much like the aesthetics of the city he represents. He's not one animal, however. Instead he is a Frankenstein-esque combination of different Brazilian creatures. This is also supposed to be a reflection on the cultural melting pot that is Brazil, which adds a nice deeper meaning. But he's also just very cute.  He's also a huge hit with the ladies. This year's mascot is adorable and also very appropriate for the region's weather. Soohoorang has a delightfully blocky design, but it doesn't compromise his cuddly appeal. And honestly — I love his little eyebrows. He's not the first mascot with eyebrows, of course, but there's something about his strong brow that really ups the cuteness to winning levels.  A good doggo Waldi exudes elegance and poise. He says Germany, without overstating it. He is svelte and refined, proud of his heritage, but not in your face. The color palette is soft and pleasing to the eye, yet he still gets your attention. Silver medal dog, for sure.  Name a more iconic duo It's a sasquatch and a sea bear — and they pay homage to the local legends and culture. That combination alone is worthy of the gold, but throw in their huggable design and you get an Olympic mascot duo that's unique, but not weird; cute, but not predictable; and just absolutely perfect. If you want to dive even deeper into mascot history, a full list of them can be found on the Olympic website. Correction: An early version of this post misstated the year of the Vancouver Olympics. It was 2010, not 2012.  "
8,"If you're not an Amazon Prime member, shopping at the online retailer just got a little more expensive. Amazon offers free shipping on many of its products if customers spend more than a certain amount, but the company has quietly raised that minimum purchase requirement from $35 to $49. For book lovers, however, there is a loophole: If your order contains $25 worth of eligible books, your shipping will be free. (Eligible books are those fulfilled and shipped by Amazon.) The free shipping on other products only applies to those sold by Amazon and select third-party sellers. The price increase likely stems from Amazon's recent efforts to pull in more Prime subscribers, who pay $99 a year for instant video and free two-day shipping on many products. Although Amazon has kept information about how many people use the service hush hush, Re/Code estimates that it has at least 46 million subscribers.  The increase was evident on Amazon's site on Monday.  The prices for Amazon services have crept up in recent years, including for its Prime customers. The Prime membership was once available to customers for $79, but that changed in 2014 when the company raised rates to $99 a year and released its music streaming service not long after. Unlike many subscription-based services, Amazon requires members to pay the cost of the full year up front rather than on a monthly basis, although the site advertises special discounts.  The latest price jump may be designed to offset the cost of Prime users taking advantage of free shipping — the fact that Amazon loses money because of the cost associated with Prime shipping is well documented. Back in January, the company's stock dipped after Amazon spent $4.55 billion to fulfill customers’ orders, up from $3.4 billion in the same quarter a year ago, MarketWatch reported.  If the company can push users to spend more or subscribe, it'll be a win-win for the retailing behemoth. Non-Prime members, however, won't be so fortunate."
9,"Sen. Lindsey GrahamLindsey Olin GrahamGraham warns Trump on Taliban deal in Afghanistan: Learn from 'Obama's mistakes' Appropriators warn White House against clawing back foreign aid Trump meets with national security team on Afghanistan peace plan MORE (R-S.C.) said Monday he expects the next president of the United States to be a woman. “The next president, whoever he or she — most likely she — is going to be, needs to get these defense cuts set aside,” Graham said at the Center for a New American Security’s annual conference.  Graham has been at odds with presumptive Republican presidential nominee Donald TrumpDonald John TrumpPossible GOP challenger says Trump doesn't doesn't deserve reelection, but would vote for him over Democrat O'Rourke: Trump driving global, U.S. economy into recession Manchin: Trump has 'golden opportunity' on gun reforms MORE since the two were rivals in the race for the White House. He has recently urged members of his party to unendorse Trump after the billionaire repeatedly attacked a judge presiding over lawsuits against Trump University. Trump questioned if the judge, a Mexican-American, could be impartial because of Trump's immigration proposals. Graham has previously said he believes presumptive Democratic nominee Hillary ClintonHillary Diane Rodham ClintonLewandowski on potential NH Senate run: If I run, 'I'm going to win' Fighter pilot vs. astronaut match-up in Arizona could determine control of Senate  Progressive Democrats' turnout plans simply don't add up MORE would crush Trump in the general election. View the discussion thread. The Hill 1625 K Street, NW Suite 900 Washington DC 20006 | 202-628-8500 tel | 202-628-8503 fax The contents of this site are ©2019 Capitol Hill Publishing Corp., a subsidiary of News Communications, Inc."
